timestamp,Vroll,Vpitch,Vyaw,Proll,Ppitch,Pyaw,Pthrottle,x,y,z,Dx,Dy,Dz,Mroll,Mpitch,Myaw,Mode,Croll,Cpitch,Cyaw,Cthrottle
1456415255.693641,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.703607,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.713628,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.72359,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.733592,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.743613,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.753716,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.763696,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.773682,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.783606,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.793635,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.803677,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.81363,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.82404,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.833991,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.844024,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.853921,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.863953,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.873963,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
1456415255.883933,0,0,0,1500.0,1500.0,1500.0,1000.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1000.0
