timestamp,roll,pitch,yaw,vx,vy,vz,rc1,rc2,rc3,rc4,x,y,z
1454924524.701035,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.721038,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.741044,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.761049,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.781057,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.801062,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.82107,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.841075,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.861079,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.881087,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.901094,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.921099,-0.0005702609196305275,0.010866105556488037,-0.028059130534529686,-0.01,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.941247,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.961253,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924524.981259,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.001264,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.02127,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.041274,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.06128,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.081286,-0.00067046721233055,0.010870260186493397,-0.027223076671361923,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.101293,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.121297,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.141305,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.161311,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.181317,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.201323,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.221328,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.241333,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.261338,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.281343,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.301351,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.321357,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.341361,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.361368,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.381373,-0.0008120427373796701,0.010580661706626415,-0.026409976184368134,-0.02,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.401431,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.421434,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.441442,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.461447,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.481455,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.501461,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.521474,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.541487,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.561493,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.581496,-0.0009851438226178288,0.01042861957103014,-0.02582293003797531,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.601502,-0.0009873530361801386,0.010534625500440598,-0.02569512091577053,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.621508,-0.0009873530361801386,0.010534625500440598,-0.02569512091577053,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.641637,-0.0009873530361801386,0.010534625500440598,-0.02569512091577053,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.661645,-0.0009873530361801386,0.010534625500440598,-0.02569512091577053,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
1454924525.681653,-0.0009873530361801386,0.010534625500440598,-0.02569512091577053,-0.03,0.02,0.0,1500,1500,1000,1500,0,0,0
