timestamp,elapsed,angx,angy,heading,x,y,z,rcR,rcP,rcY,rcT,rPID,pPID
1433520083.43,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.45,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.46,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.48,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.50,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.51,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.53,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.54,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.56,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.58,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.58,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.59,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.61,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.62,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.64,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.66,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.67,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.69,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.70,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520083.70,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
