timestamp,Vroll,Vpitch,Vyaw,Proll,Ppitch,Pyaw,Pthrottle,x,y,z,Dx,Dy,Dz,Mroll,Mpitch,Myaw,Mode,Croll,Cpitch,Cyaw,Cthrottle,slx,sly,slz,slr,slp,sly,vel_x,vel_fx,vel_y,vel_fy,vel_z,vel_fz,NNslX,NNslY
1479902181.441366,0.4,0.2,225.0,1500.0,1500.0,1500.0,1000.0,-0.053824,-0.133986,0.072874,0.0,0.0,1.8,0.032882,0.092292,-0.060114,0.0,1500,1500,1500,1000,-0.058491,0.696435,0.041069,0.000667,0.482013,-0.005878,0.00010000000000010001,-0.07402263753973756,-0.004199999999998649,-0.18463207439417337,-0.0007000000000007001,0.10004273509998576,1.101183622830386,0.68964800103568591
1479902181.451358,0.4,0.2,225.0,1500.0,1500.0,1500.0,1000.0,-0.053831,-0.133938,0.0728,0.0,0.0,1.8,0.032136,0.094037,-0.060456,0.0,1500,1500,1500,1000,-0.058486,0.696445,0.041057,0.000753,0.481953,-0.005797,-0.0007000000000000062,-0.05935811003179005,0.004799999999999249,-0.14674565951533886,-0.007399999999999074,0.07855418807998879,1.1011694074907934,0.68967054267656591
1479902181.461504,0.4,0.2,225.0,1500.0,1500.0,1500.0,1000.0,-0.05382,-0.133987,0.072945,0.0,0.0,1.8,0.031633,0.093445,-0.060068,0.0,1500,1500,1500,1000,-0.058469,0.696451,0.041066,0.000374,0.482365,-0.005928,0.0010999999999997123,-0.047266488025432096,-0.004899999999999349,-0.11837652761227095,0.014499999999999236,0.06574335046399088,1.1011924343254744,0.68963192475333479
1479902181.471279,0.4,0.2,226.0,1500.0,1500.0,1500.0,1000.0,-0.053825,-0.133951,0.072854,0.0,0.0,1.8,0.033049,0.094626,-0.060418,0.0,1500,1500,1500,1000,-0.058464,0.696439,0.041067,0.000537,0.482361,-0.006118,-0.0004999999999998062,-0.03791319042034564,0.0036000000000008248,-0.0939812220898166,-0.009099999999999386,0.05077468037119283,1.1017013358281598,0.68848520685028469
1479902181.481362,0.4,0.2,226.0,1500.0,1500.0,1500.0,1000.0,-0.053816,-0.133989,0.072925,0.0,0.0,1.8,0.033335,0.094351,-0.060669,0.0,1500,1500,1500,1000,-0.058511,0.696476,0.041005,0.002234,0.480678,-0.006374,0.0008999999999995123,-0.030150552336276608,-0.0038000000000010248,-0.07594497767185349,0.007100000000000162,0.0420397442969543,1.1017133650850071,0.68846418866179704
1479902181.491353,0.4,0.2,226.0,1500.0,1500.0,1500.0,1000.0,-0.053808,-0.133973,0.072912,0.0,0.0,1.8,0.032711,0.094359,-0.060512,0.0,1500,1500,1500,1000,-0.058484,0.696457,0.04104,0.000657,0.481888,-0.005874,0.0008000000000001062,-0.023960441869021264,0.0015999999999988246,-0.060435982137483024,-0.0012999999999999123,0.03337179543756345,1.1017074091347581,0.68846748951244641
1479902181.501356,0.4,0.2,227.0,1500.0,1500.0,1500.0,1000.0,-0.05381,-0.133979,0.072918,0.0,0.0,1.8,0.030837,0.092608,-0.060215,0.0,1500,1500,1500,1000,-0.05847,0.69644,0.04105,0.000333,0.482249,-0.005686,-0.00019999999999950613,-0.019208353495216914,-0.0005999999999978245,-0.04846878570998599,0.0005999999999992123,0.026817436350050607,1.1022131045655661,0.68730645666962664
1479902181.511367,0.4,0.2,227.0,1500.0,1500.0,1500.0,1000.0,-0.053816,-0.133956,0.072859,0.0,0.0,1.8,0.033094,0.092239,-0.059948,0.0,1500,1500,1500,1000,-0.058498,0.696484,0.041018,0.001818,0.481125,-0.006626,-0.0006000000000006,-0.015486682796173651,0.0022999999999995246,-0.038315028567988886,-0.005900000000000349,0.020273949080040415,1.1022037761530861,0.68732267842552275
1479902181.521366,0.4,0.2,227.0,1500.0,1500.0,1500.0,1000.0,-0.053842,-0.133928,0.07279,0.0,0.0,1.8,0.035036,0.093289,-0.06029,0.0,1500,1500,1500,1000,-0.058473,0.69645,0.041054,0.000818,0.482134,-0.006845,-0.0025999999999998247,-0.012909346236938886,0.0028000000000000247,-0.030092022854391103,-0.006899999999999962,0.014839159264032339,1.1021979081082396,0.68734483874209851
1479902181.531367,0.4,0.2,227.0,1500.0,1500.0,1500.0,1000.0,-0.053822,-0.133987,0.072831,0.0,0.0,1.8,0.032411,0.091749,-0.059936,0.0,1500,1500,1500,1000,-0.058453,0.696432,0.041072,0.000715,0.48251,-0.006227,0.0019999999999999185,-0.009927476989551124,-0.005900000000000349,-0.02525361828351295,0.004100000000001325,0.012691327411226135,1.1022054680802913,0.6873262406353603
