timestamp,Vroll,Vpitch,Vyaw,Proll,Ppitch,Pyaw,Pthrottle,x,y,z,Dx,Dy,Dz,Mroll,Mpitch,Myaw,Mode,Croll,Cpitch,Cyaw,Cthrottle,slx,sly,slz,slr,slp,sly,vel_x,vel_fx,vel_y,vel_fy,vel_z,vel_fz
1478703673.42561,-0.9,-1.8,305.0,1500.0,1500.0,1500.0,1000.0,0.866144,0.01537,0.069431,0.0,0.0,1.7,0.026376,0.080091,-0.117007,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0024000000000024,0.7612891202724043,0.002300000000000045,0.013869589780715922,0.0032000000000004247,0.062330664193661456
1478703673.435594,-0.9,-1.8,304.0,1500.0,1500.0,1500.0,1000.0,0.866179,0.015347,0.069338,0.0,0.0,1.7,0.026837,0.080052,-0.117138,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0035000000000007248,0.6097312962179235,-0.002300000000000045,0.010635671824572729,-0.009300000000000974,0.04800453135492897
1478703673.445594,-0.9,-1.8,304.0,1500.0,1500.0,1500.0,1000.0,0.866174,0.015354,0.069364,0.0,0.0,1.7,0.028192,0.079081,-0.116944,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0005000000000032756,0.4876850369743382,0.0007000000000000062,0.008648537459658184,0.0025999999999998247,0.03892362508394314
1478703673.45528,-0.9,-1.8,304.0,1500.0,1500.0,1500.0,1000.0,0.86618,0.015362,0.069412,0.0,0.0,1.7,0.028192,0.079081,-0.116944,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0005999999999950489,0.39026802957946954,0.0008000000000001062,0.007078829967726569,0.004800000000000637,0.03209890006715464
1478703673.465277,-0.9,-1.8,304.0,1500.0,1500.0,1500.0,1000.0,0.86618,0.015362,0.069412,0.0,0.0,1.7,0.028192,0.079081,-0.116944,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.31221442366357566,0.0,0.005663063974181255,0.0,0.025679120053723713
1478703673.475292,-0.9,-1.8,303.0,1500.0,1500.0,1500.0,1000.0,0.86618,0.015362,0.069412,0.0,0.0,1.7,0.028192,0.079081,-0.116944,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.24977153893086051,0.0,0.004530451179345004,0.0,0.02054329604297897
1478703673.485286,-0.9,-1.8,303.0,1500.0,1500.0,1500.0,1000.0,0.86618,0.015362,0.069412,0.0,0.0,1.7,0.028192,0.079081,-0.116944,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.1998172311446884,0.0,0.003624360943476003,0.0,0.016434636834383176
1478703673.496628,-0.9,-1.8,303.0,1500.0,1500.0,1500.0,1000.0,0.86618,0.015362,0.069412,0.0,0.0,1.7,0.026371,0.079777,-0.117121,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0,0.15985378491575072,0.0,0.0028994887547808025,0.0,0.013147709467506541
1478703673.505885,-0.9,-1.8,303.0,1500.0,1500.0,1500.0,1000.0,0.866174,0.01537,0.069353,0.0,0.0,1.7,0.026918,0.079851,-0.117173,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0005999999999950489,0.12776302793260158,0.0007999999999999327,0.0024795910038246287,-0.005900000000000349,0.009338167574005162
1478703673.515621,-0.9,-1.8,303.0,1500.0,1500.0,1500.0,1000.0,0.86619,0.015361,0.069351,0.0,0.0,1.7,0.026961,0.079698,-0.117185,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.0016000000000016001,0.10253042234608159,-0.0009000000000000327,0.0018036728030596965,-0.00020000000000020002,0.00743053405920409
1478703673.525701,-0.9,-1.8,303.0,1500.0,1500.0,1500.0,1000.0,0.866169,0.015359,0.069354,0.0,0.0,1.7,0.026199,0.080116,-0.116986,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,-0.0021000000000048757,0.0816043378768643,-0.00020000000000002655,0.0014029382424477518,0.0003000000000003,0.006004427247363333
1478703673.53561,-0.9,-1.8,302.0,1500.0,1500.0,1500.0,1000.0,0.866171,0.015357,0.069362,0.0,0.0,1.7,0.026142,0.079861,-0.117234,0.0,1500,1500,1500,1000,-0.092019,0.118089,-1.656904,-0.002448,-0.048596,0.073684,0.00020000000000575113,0.06532347030149259,-0.00019999999999985307,0.0010823505939582308,0.0007999999999994123,0.004963541797890549
